fit_unit_id,lake_id,phase,branch_label,point_count,linear_r2,linear_rmse,linear_aicc,linear_coefficients,quadratic_r2,quadratic_rmse,quadratic_aicc,quadratic_coefficients,selected_model,selected_r2,selected_rmse,selected_aicc,selected_coefficients,selection_rule,aicc_parameterization
lake_056_original_b01,56,original,B1,25,0.9854720321718654,0.1606937131431525,-84.26989929223348,9.29112851753;752.182195368,0.986904971145414,0.1525631619937215,-84.0088295837141,-3.58053302362;10.9836533679;752.054975551,linear,0.9854720321718654,0.1606937131431525,-84.26989929223348,9.29112851753;752.182195368,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_058_original_b01,58,original,B1,13,0.94249761963386,0.19652615325539,-33.63428712146421,9.83155838023;902.030774255,0.9537451990913764,0.1762608458596528,-32.13054786215855,-20.5131352851;19.5277591796;901.042346226,linear,0.94249761963386,0.19652615325539,-33.63428712146421,9.83155838023;902.030774255,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_059_original_b01,59,original,B1,9,0.9551918036430788,0.1196219719020303,-27.421537370095248,5.10715654715;729.548534601,0.9833425595993384,0.0729350625694823,-29.127344176156782,-9.63546501551;9.19330020025;729.232439362,quadratic,0.9833425595993384,0.0729350625694823,-29.127344176156782,-9.63546501551;9.19330020025;729.232439362,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_060_original_b01,60,original,B1,15,0.8923887378126961,0.1861941951647354,-42.24713451503417,7.01692789154;959.201292909,0.953689067536846,0.1221459403439278,-51.0761615051224,-30.775402846;24.0472869841;957.067833692,quadratic,0.953689067536846,0.1221459403439278,-51.0761615051224,-30.775402846;24.0472869841;957.067833692,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_066_original_b01,66,original,B1,19,0.9452456214841802,0.4825442608164023,-20.08993994563424,22.272762742;839.198501955,0.9706167103484968,0.3534906539651924,-28.6589899803613,-87.3401368086;50.1646904931;837.727574837,quadratic,0.9706167103484968,0.3534906539651924,-28.6589899803613,-87.3401368086;50.1646904931;837.727574837,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_070_original_b01,70,original,B1,12,0.9922508331015316,0.2252829538353246,-26.76955426220105,21.1202118176;618.794525925,0.9930647788991934,0.2131233235537072,-23.386937413689186,-11.7558169239;25.9278070686;618.497450484,linear,0.9922508331015316,0.2252829538353246,-26.76955426220105,21.1202118176;618.794525925,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_072_original_b02,72,original,B2,12,0.9436523880676426,0.1917273676134169,-30.64034103360485,6.10806958096;930.522427801,0.9836159322497632,0.10338492561765,-40.74882103609319,-16.5441222542;12.9165336567;930.10113681,quadratic,0.9836159322497632,0.10338492561765,-40.74882103609319,-16.5441222542;12.9165336567;930.10113681,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_073_original_b01,73,original,B1,13,0.8350278436272848,0.3793387964193792,-16.53579766607042,7.90723576074;818.691366525,0.9206424245386244,0.2630971427912122,-21.71603072021249,-38.9190116107;23.4093419187;817.623687864,quadratic,0.9206424245386244,0.2630971427912122,-21.71603072021249,-38.9190116107;23.4093419187;817.623687864,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_074_original_b01,74,original,B1,11,0.8737652958284283,0.2056399669349742,-25.3672527683134,11.1049961746;576.579201577,0.8740470014956271,0.2054103854592182,-20.15373258756775,3.07366682152;9.37962305589;576.814012221,linear,0.8737652958284283,0.2056399669349742,-25.3672527683134,11.1049961746;576.579201577,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_077_original_b01,77,original,B1,26,0.9029222864177296,0.2994408242610107,-55.61269097025649,13.8577434167;598.034494483,0.9082488009454596,0.2911099933298643,-54.26605125765034,-23.3074973665;22.4417483277;597.360042072,linear,0.9029222864177296,0.2994408242610107,-55.61269097025649,13.8577434167;598.034494483,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_078_original_b01,78,original,B1,11,0.9619881346786584,0.2790268024486079,-18.65327215574581,16.6622493598;668.665049546,0.9929923138900636,0.119804643621601,-32.0149756505972,-45.2001851566;32.6465213561;667.583021518,quadratic,0.9929923138900636,0.119804643621601,-32.0149756505972,-45.2001851566;32.6465213561;667.583021518,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_084_original_b01,84,original,B1,15,0.7744140939428037,0.483415074979632,-13.62457059480372,13.6839524526;728.188483735,0.9513207732910924,0.2245618841070441,-32.808118702412635,-84.8763682587;43.4689885819;726.036127128,quadratic,0.9513207732910924,0.2245618841070441,-32.808118702412635,-84.8763682587;43.4689885819;726.036127128,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_086_original_b01,86,original,B1,13,0.7826808029859971,0.3755131195949386,-16.79934193739877,6.83062741166;560.891413268,0.8033807745384633,0.3571815845146159,-13.767285646895594,-14.5608554229;12.3018853692;560.541844954,quadratic,0.8033807745384633,0.3571815845146159,-13.767285646895594,-14.5608554229;12.3018853692;560.541844954,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_087_original_b01,87,original,B1,10,0.9372684678217575,0.2997825626876744,-14.09395716310066,18.6741422702;827.410029861,0.9451634908880424,0.2802840086866679,-9.439037462928376,-55.6958699519;34.1304710011;826.55327329,linear,0.9372684678217575,0.2997825626876744,-14.09395716310066,18.6741422702;827.410029861,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_088_original_b01,88,original,B1,28,0.8802598539514194,0.6994207052532717,-13.020159627030846,29.3666652687;838.318591748,0.8841949218969201,0.6878320289531492,-11.216663995150183,-38.9208158892;43.4064358051;837.228206071,linear,0.8802598539514194,0.6994207052532717,-13.020159627030846,29.3666652687;838.318591748,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_092_original_b01,92,original,B1,7,0.9651444151841564,0.1692884628315331,-10.866115938501384,7.1726167888;590.321364239,0.9702069010351464,0.1565124948386032,2.035327938495477,-18.3314692666;13.5849336316;590.050824562,linear,0.9651444151841564,0.1692884628315331,-10.866115938501384,7.1726167888;590.321364239,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_094_original_b01,94,original,B1,19,0.8433707651125083,0.3840736150648094,-28.762999477048467,9.45993928631;504.555199789,0.9399277150053642,0.2378565612105318,-43.71418104036403,-38.6944623905;23.9442677391;503.609737131,quadratic,0.9399277150053642,0.2378565612105318,-43.71418104036403,-38.6944623905;23.9442677391;503.609737131,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_097_original_b01,97,original,B1,23,0.8068001781718983,0.4849355383899798,-26.02885024631479,15.6779283935;827.025878259,0.8214992119056257,0.4661232014320166,-24.88982153377988,39.5580470109;4.67275768451;827.626796666,linear,0.8068001781718983,0.4849355383899798,-26.02885024631479,15.6779283935;827.025878259,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_098_original_b01,98,original,B1,20,0.9169164323153868,0.1809308685931414,-60.88561048595564,10.2381699133;939.441822518,0.9186638848480332,0.1790180458875976,-58.14407986166783,-8.86673427907;13.3402085787;939.20243524,linear,0.9169164323153868,0.1809308685931414,-60.88561048595564,10.2381699133;939.441822518,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
lake_100_original_b01,100,original,B1,8,0.9869199474076772,0.1077961657413503,-23.6402110304298,14.0215396365;673.781216188,0.9911358914956286,0.0887393207584601,-17.419501664249445,-28.5263150537;22.8749554716;673.223313392,linear,0.9869199474076772,0.1077961657413503,-23.6402110304298,14.0215396365;673.781216188,minimum finite AICc among candidates with R2 > 0.8,regression coefficients + residual variance (locked ordinary workflow)
