fit_unit_id,lake_id,phase,branch_label,selected_model,selected_r2,volume_formula,n_dates,first_date,last_date,reference_date,reference_wse_m,reference_area_km2,min_volume_1e6_m3,max_volume_1e6_m3,range_volume_1e6_m3,max_fill_rate_1e6_m3_day,max_drain_rate_1e6_m3_day,source_kind
lake_070_original_b01,70,original,B1,linear,0.9922508331015316,reference_wse_integral_A(h)_dh,22,2024-07-03,2024-08-04,2024-07-16,620.2231597900391,0.0687,-0.0867321631890404,1.4735210892041757,1.5602532523932162,0.3502476890887021,-0.7196393399383951,ordinary_densified_area_wse
lake_072_original_b02,72,original,B2,quadratic,0.9836159322497632,reference_wse_integral_A(h)_dh,21,2024-07-14,2024-08-14,2024-07-30,932.1851806640624,0.2359,-0.0083672189614453,0.3881430037307715,0.3965102226922168,0.1449046836178796,-0.0772233298944969,ordinary_densified_area_wse
lake_073_original_b01,73,original,B1,quadratic,0.9206424245386244,reference_wse_integral_A(h)_dh,20,2024-07-05,2024-08-05,2024-07-07,820.4271087646484,0.13355,-0.0769854253832554,0.2782148898939309,0.3552003152771863,0.0603094356000048,-0.0732587820467175,ordinary_densified_area_wse
lake_074_original_b01,74,original,B1,linear,0.8737652958284283,reference_wse_integral_A(h)_dh,14,2024-07-14,2024-08-13,2024-07-27,579.415666023506,0.2871,-0.6922566253791725,0.0,0.6922566253791725,0.0,-0.0750677758802147,ordinary_densified_area_wse
lake_077_original_b01,77,original,B1,linear,0.9029222864177296,reference_wse_integral_A(h)_dh,41,2024-07-01,2024-08-14,2024-07-24,599.9793701171875,0.1355362535118871,-0.080394079049508,0.5407949201793553,0.6211889992288633,0.1117995306738577,-0.3428313288197011,ordinary_densified_area_wse
lake_078_original_b01,78,original,B1,quadratic,0.9929923138900636,reference_wse_integral_A(h)_dh,17,2024-07-06,2024-07-26,2024-07-14,672.7986828179572,0.23855,-0.0320881589948484,0.6295622358621976,0.661650394857046,0.1063754520579803,-0.1195336515532734,ordinary_densified_area_wse
lake_084_original_b01,84,original,B1,quadratic,0.9513207732910924,reference_wse_integral_A(h)_dh,21,2024-07-01,2024-07-27,2024-07-11,730.0357243464543,0.127124234850271,-0.2024358211363307,0.2791759605313185,0.4816117816676493,0.1280572586464719,-0.107534192924695,ordinary_densified_area_wse
lake_086_original_b01,86,original,B1,quadratic,0.8033807745384633,reference_wse_integral_A(h)_dh,26,2024-07-07,2024-08-04,2024-07-08,561.9407187069164,0.0979,-0.0762356069530637,0.3623718309718178,0.4386074379248816,0.2198788770809106,-0.1106133529794376,ordinary_densified_area_wse
lake_087_original_b01,87,original,B1,linear,0.9372684678217575,reference_wse_integral_A(h)_dh,21,2024-07-09,2024-08-14,2024-08-11,830.1084434190439,0.1445,0.0,0.4334495562113986,0.4334495562113986,0.0758829104614434,-0.0987566481712535,ordinary_densified_area_wse
lake_088_original_b01,88,original,B1,linear,0.8802598539514194,reference_wse_integral_A(h)_dh,42,2024-06-29,2024-08-14,2024-07-03,842.5538876016001,0.1024,0.0,1.1313580773458485,1.1313580773458485,0.2076198250857048,-0.2371799949476784,ordinary_densified_area_wse
lake_092_original_b01,92,original,B1,linear,0.9651444151841564,reference_wse_integral_A(h)_dh,14,2024-07-01,2024-07-18,2024-07-03,591.8835601756007,0.2155,-0.0730591249056906,0.2776057842056603,0.3506649091113509,0.0899658829938864,-0.0549849062205199,ordinary_densified_area_wse
lake_094_original_b01,94,original,B1,quadratic,0.9399277150053642,reference_wse_integral_A(h)_dh,29,2024-07-05,2024-08-04,2024-07-20,505.7938656505659,0.1112,-0.1074267607058283,0.2792470326330816,0.3866737933389099,0.1554054736539277,-0.0915475358384209,ordinary_densified_area_wse
lake_097_original_b01,97,original,B1,linear,0.8068001781718983,reference_wse_integral_A(h)_dh,37,2024-06-26,2024-08-14,2024-07-04,829.0961487033617,0.13205,0.0,0.6001281694532024,0.6001281694532024,0.0930910663503372,-0.1723760258844646,ordinary_densified_area_wse
lake_098_original_b01,98,original,B1,linear,0.9169164323153868,reference_wse_integral_A(h)_dh,35,2024-07-06,2024-08-12,2024-07-24,941.6730346679688,0.2074674601681181,-0.001930904232941,0.3106881020504569,0.3126190062833979,0.0309281184610591,-0.0331291989457251,ordinary_densified_area_wse
lake_100_original_b01,100,original,B1,linear,0.9869199474076772,reference_wse_integral_A(h)_dh,15,2024-07-07,2024-08-02,2024-07-18,676.4287567138672,0.2119,-0.0724651827455879,0.4037713246592708,0.4762365074048588,0.1619969539296339,-0.1017158117488221,ordinary_densified_area_wse
lake_101_original_b01,101,original,B1,linear,0.9522474221200816,reference_wse_integral_A(h)_dh,35,2024-07-05,2024-08-13,2024-07-06,496.1470718383789,0.1073,-0.0640831093805323,0.4754220270758393,0.5395051364563717,0.1273061369910873,-0.0822060095254111,ordinary_densified_area_wse
lake_105_original_b01,105,original,B1,quadratic,0.968794465257547,reference_wse_integral_A(h)_dh,18,2024-06-29,2024-07-30,2024-07-05,751.5885467529297,0.1059,-0.0260752766875913,0.6474957629076118,0.6735710395952031,0.1193209377069206,-0.0670089542261727,ordinary_densified_area_wse
lake_108_original_b01,108,original,B1,linear,0.9631921785625552,reference_wse_integral_A(h)_dh,27,2024-07-06,2024-08-06,2024-07-07,467.1255340576172,0.15305,-0.0675467080351102,0.3736000078776553,0.4411467159127655,0.1394652800058883,-0.0734852443852782,ordinary_densified_area_wse
lake_112_original_b01,112,original,B1,linear,0.8228230057835033,reference_wse_integral_A(h)_dh,28,2024-06-27,2024-08-09,2024-07-12,737.3701862153553,0.11265,-0.1538999156497025,0.4043571760051269,0.5582570916548295,0.1284441441755504,-0.2668802945181784,ordinary_densified_area_wse
lake_113_original_b01,113,original,B1,linear,0.8236118899144254,reference_wse_integral_A(h)_dh,22,2024-07-06,2024-07-28,2024-07-07,491.0852661132813,0.28035,-0.0508124056217807,0.2746446621943026,0.3254570678160833,0.2448111591367005,-0.0721017650772284,ordinary_densified_area_wse
lake_114_original_b01,114,original,B1,linear,0.9419106783938752,reference_wse_integral_A(h)_dh,33,2024-06-29,2024-08-04,2024-07-15,685.1868896484375,0.0590662777213282,-0.0379703665017472,0.207153670552568,0.2451240370543152,0.1038288843577423,-0.0879343078761566,ordinary_densified_area_wse
lake_116_original_b01,116,original,B1,quadratic,0.9504303217096416,reference_wse_integral_A(h)_dh,26,2024-07-04,2024-08-06,2024-07-07,1004.8299865722656,0.11995,-0.0340032134431221,0.3838928898801533,0.4178961033232755,0.0812116131960393,-0.143631360852954,ordinary_densified_area_wse
lake_119_original_b01,119,original,B1,linear,0.9927806832448932,reference_wse_integral_A(h)_dh,16,2024-07-03,2024-07-22,2024-07-09,990.5302655575726,0.12865,0.0,0.4192533015788585,0.4192533015788585,0.1210239496456157,-0.4087192585577885,ordinary_densified_area_wse
lake_126_original_b01,126,original,B1,linear,0.973978862219792,reference_wse_integral_A(h)_dh,23,2024-07-03,2024-08-05,2024-07-14,642.5733187640155,0.06765,-0.1031513752674114,0.1759278092983471,0.2790791845657586,0.1759278092983471,-0.0590071907915374,ordinary_densified_area_wse
lake_127_original_b01,127,original,B1,linear,0.924031281449375,reference_wse_integral_A(h)_dh,30,2024-07-06,2024-08-14,2024-07-21,998.5541844444926,0.1478,0.0,0.2967296988113387,0.2967296988113387,0.0466286501570155,-0.0422956904722705,ordinary_densified_area_wse
lake_132_original_b01,132,original,B1,quadratic,0.9811732342949264,reference_wse_integral_A(h)_dh,25,2024-07-05,2024-08-07,2024-07-05,643.8290405273438,0.092,-0.0672936684139171,0.1791374801683893,0.2464311485823064,0.0867566633998618,-0.060034724551292,ordinary_densified_area_wse
lake_139_original_b01,139,original,B1,linear,0.993347666725403,reference_wse_integral_A(h)_dh,22,2024-07-03,2024-08-14,2024-07-03,793.9689469841298,0.1463,-0.1374378039887542,0.1395602762236226,0.2769980802123769,0.0855050795327074,-0.0532281092501402,ordinary_densified_area_wse
lake_141_original_b01,141,original,B1,quadratic,0.8383151547660218,reference_wse_integral_A(h)_dh,22,2024-07-04,2024-08-09,2024-07-27,926.8995132446288,0.1324,-0.0272327268494037,0.2040272866718743,0.231260013521278,0.0457629128028699,-0.0719985108213161,ordinary_densified_area_wse
lake_144_original_b01,144,original,B1,quadratic,0.85619294350359,reference_wse_integral_A(h)_dh,24,2024-07-01,2024-08-04,2024-07-06,640.4681859419902,0.0861,-0.0994125089543849,0.2100837196465056,0.3094962286008906,0.0519990536731365,-0.0532553119259357,ordinary_densified_area_wse
lake_145_original_b01,145,original,B1,linear,0.8016286716336523,reference_wse_integral_A(h)_dh,22,2024-07-06,2024-08-03,2024-07-16,548.1143417358398,0.1626,-0.0851299067485849,0.2049667348860875,0.2900966416346724,0.1365576281278512,-0.0823663368536501,ordinary_densified_area_wse
lake_148_original_b01,148,original,B1,quadratic,0.9116815588267332,reference_wse_integral_A(h)_dh,41,2024-07-03,2024-08-14,2024-07-23,909.3765106201172,0.0607753026415593,-0.045313297166904,0.1271535041934834,0.1724668013603874,0.0460096574275412,-0.0539032133000318,ordinary_densified_area_wse
lake_149_original_b01,149,original,B1,linear,0.9485199037237112,reference_wse_integral_A(h)_dh,34,2024-06-29,2024-08-14,2024-07-14,742.3044582548596,0.11515,-0.1035948876381102,0.250333059186528,0.3539279468246382,0.0995057386821309,-0.1467814496361466,ordinary_densified_area_wse
lake_151_original_b01,151,original,B1,quadratic,0.9679728397829216,reference_wse_integral_A(h)_dh,16,2024-06-28,2024-07-14,2024-07-07,388.07222346255656,0.107,-0.0701746910040705,0.154981286152383,0.2251559771564536,0.1040332686867264,-0.0353058904623725,ordinary_densified_area_wse
lake_153_original_b01,153,original,B1,quadratic,0.911609682248514,reference_wse_integral_A(h)_dh,20,2024-06-28,2024-07-27,2024-07-08,757.94482421875,0.0603,-0.1411665000752971,0.0342197923749753,0.1753862924502724,0.0164011975689785,-0.0642283729965711,ordinary_densified_area_wse
lake_158_original_b01,158,original,B1,quadratic,0.8850112065544877,reference_wse_integral_A(h)_dh,36,2024-06-26,2024-08-14,2024-07-15,818.095186078905,0.0834,-0.0538952181389175,0.2886006325799999,0.3424958507189174,0.158399305511561,-0.0681085954964687,ordinary_densified_area_wse
lake_162_original_b01,162,original,B1,linear,0.9282422099811896,reference_wse_integral_A(h)_dh,10,2024-06-29,2024-07-08,2024-07-01,454.3341064453125,0.0685,-0.0007149223327636,0.1595004017403862,0.1602153240731499,0.1223572604414795,-0.0689084429486928,ordinary_densified_area_wse
